branche,day,movies,genres,screen,seats,visitors_adults,visitors_children,total_revenue_adults,total_revenue_children,snacks_revenue,total_revenue
branch 1,6,La Mission,action,1,250,236,12,3540,120,3935,7595
branch 1,6,La Mission,action,2,250,63,61,945,610,2110,3665
branch 1,7,Hunter Killer,action,1,55,42,13,630,130,835,1595
branch 1,7,Hunter Killer,action,2,55,42,3,630,30,640,1300
branch 1,7,Moonlight,drama,1,72,43,0,645,0,755,1400
branch 1,7,Moonlight,drama,2,72,71,0,1065,0,1055,2120
branch 1,7,Dangal,drama,1,150,66,71,990,710,2160,3860
branch 1,7,Dangal,drama,2,150,78,34,1170,340,1730,3240
branch 1,7,Pitch Perfect,comedy,1,150,138,0,2070,0,2240,4310
branch 1,7,Pitch Perfect,comedy,2,150,145,0,2175,0,2520,4695
branch 1,7,La Mission,action,1,250,114,52,1710,520,2925,5155
branch 1,7,La Mission,action,2,250,249,1,3735,10,3700,7445
branch 2,1,Hunter Killer,action,1,55,47,2,705,20,735,1460
branch 2,1,Hunter Killer,action,2,55,16,18,240,180,560,980
branch 2,1,Moonlight,drama,1,72,26,0,390,0,375,765
branch 2,1,Moonlight,drama,2,72,41,0,615,0,595,1210
branch 2,1,Dangal,drama,1,150,103,23,1545,230,1905,3680
branch 2,1,Dangal,drama,2,150,53,42,795,420,1515,2730
branch 2,1,Pitch Perfect,comedy,1,150,75,0,1125,0,1180,2305
branch 2,1,Pitch Perfect,comedy,2,150,53,0,795,0,920,1715
branch 2,1,La Mission,action,1,250,83,142,1245,1420,3670,6335
branch 2,1,La Mission,action,2,250,154,47,2310,470,2935,5715
branch 2,2,Hunter Killer,action,1,55,20,35,300,350,820,1470
branch 2,2,Hunter Killer,action,2,55,51,4,765,40,745,1550
branch 2,2,Moonlight,drama,1,72,24,0,360,0,410,770
branch 2,2,Moonlight,drama,2,72,48,0,720,0,765,1485
branch 2,2,Dangal,drama,1,150,13,115,195,1150,2200,3545
branch 2,2,Dangal,drama,2,150,84,53,1260,530,2115,3905
branch 2,2,Pitch Perfect,comedy,1,150,69,0,1035,0,1120,2155
branch 2,2,Pitch Perfect,comedy,2,150,95,0,1425,0,1380,2805
branch 2,2,La Mission,action,1,250,59,147,885,1470,3285,5640
branch 2,2,La Mission,action,2,250,157,66,2355,660,3610,6625
branch 2,3,Hunter Killer,action,1,55,53,2,795,20,855,1670
branch 2,3,Hunter Killer,action,2,55,7,15,105,150,370,625
branch 2,3,Moonlight,drama,1,72,67,0,1005,0,1070,2075
branch 2,3,Moonlight,drama,2,72,22,0,330,0,375,705
branch 2,3,Dangal,drama,1,150,11,91,165,910,1635,2710
branch 2,3,Dangal,drama,2,150,98,48,1470,480,2380,4330
branch 2,3,Pitch Perfect,comedy,1,150,40,0,600,0,555,1155
branch 2,3,Pitch Perfect,comedy,2,150,137,0,2055,0,2280,4335
branch 2,3,La Mission,action,1,250,30,38,450,380,915,1745
branch 2,3,La Mission,action,2,250,138,89,2070,890,3380,6340
branch 2,4,Hunter Killer,action,1,55,45,1,675,10,670,1355
branch 2,4,Hunter Killer,action,2,55,23,7,345,70,565,980
branch 2,4,Moonlight,drama,1,72,41,0,615,0,700,1315
branch 2,4,Moonlight,drama,2,72,6,0,90,0,80,170
branch 2,4,Dangal,drama,1,150,138,4,2070,40,2225,4335
branch 2,4,Dangal,drama,2,150,29,67,435,670,1580,2685
branch 2,4,Pitch Perfect,comedy,1,150,112,0,1680,0,1830,3510
branch 2,4,Pitch Perfect,comedy,2,150,134,0,2010,0,2195,4205
branch 2,4,La Mission,action,1,250,229,4,3435,40,3630,7105
branch 2,4,La Mission,action,2,250,33,58,495,580,1465,2540
branch 2,5,Hunter Killer,action,1,55,30,17,450,170,820,1440
branch 2,5,Hunter Killer,action,2,55,13,3,195,30,255,480
branch 2,5,Moonlight,drama,1,72,55,0,825,0,865,1690
branch 2,5,Moonlight,drama,2,72,4,0,60,0,50,110
branch 2,5,Dangal,drama,1,150,62,49,930,490,1835,3255
branch 2,5,Dangal,drama,2,150,85,32,1275,320,1915,3510
branch 2,5,Pitch Perfect,comedy,1,150,8,0,120,0,130,250
branch 2,5,Pitch Perfect,comedy,2,150,46,0,690,0,735,1425
branch 2,5,La Mission,action,1,250,67,112,1005,1120,2905,5030
branch 2,5,La Mission,action,2,250,131,67,1965,670,3290,5925
branch 2,6,Hunter Killer,action,1,55,37,6,555,60,745,1360
branch 2,6,Hunter Killer,action,2,55,33,16,495,160,795,1450
branch 2,6,Moonlight,drama,1,72,10,0,150,0,175,325
branch 2,6,Moonlight,drama,2,72,37,0,555,0,675,1230
branch 2,6,Dangal,drama,1,150,36,88,540,880,1960,3380
branch 2,6,Dangal,drama,2,150,58,28,870,280,1485,2635
branch 2,6,Pitch Perfect,comedy,1,150,91,0,1365,0,1335,2700
branch 2,6,Pitch Perfect,comedy,2,150,92,0,1380,0,1515,2895
branch 2,6,La Mission,action,1,250,57,161,855,1610,3440,5905
branch 2,6,La Mission,action,2,250,96,4,1440,40,1620,3100
branch 2,7,Hunter Killer,action,1,55,4,20,60,200,375,635
branch 2,7,Hunter Killer,action,2,55,20,17,300,170,635,1105
branch 2,7,Moonlight,drama,1,72,9,0,135,0,145,280
branch 2,7,Moonlight,drama,2,72,13,0,195,0,235,430
branch 2,7,Dangal,drama,1,150,80,34,1200,340,2000,3540
branch 2,7,Dangal,drama,2,150,95,1,1425,10,1555,2990
branch 2,7,Pitch Perfect,comedy,1,150,10,0,150,0,140,290
branch 2,7,Pitch Perfect,comedy,2,150,45,0,675,0,725,1400
branch 2,7,La Mission,action,1,250,73,40,1095,400,1825,3320
branch 2,7,La Mission,action,2,250,80,19,1200,190,1715,3105

